-able	可;易
originality	依样画葫芦;创作力;别出心裁;原创性;标新取异;标新竞异;独出心裁;独创性;独辟蹊径;翻空出奇
originally	一举成名;三牲;世界波;主理人;伩;假借义;先;光棍节;冏卿;冏牧;刘厚总;前方高能;劲爆;原先;原初;原定;原拟;原本;原来;友谊商店;吹水;哈日族;坊间;太仆寺;太仆寺卿;太阳饼;宣纸;小强;巴蜀;应援;当初;扑街;扳指;摩诃婆罗多;旗袍;无用之树;无颜见江东父老;最初;本;本来;杠杠的;沙门;波鞋;独善其身;班底;筒子米糕;箍煲;糖弹;糖衣炮弹;红温;约吗;绿卡;绿旗兵;绿林好汉;绿营;绿营兵;自报家门;萧红;诺矩罗;貅;貔;起初;超限战;闺蜜;韬略;顶手;顶手费;鬼马;鸿沟;麦德龙
originate	发源;发端;发起;来源于;源自;源起;缘于;缘起;肇;起始;起源;首创;鬼由心生
originated	掼蛋;援助交际;时代曲;砂糖橘
originates	刻奇
originating	塔拉斯河;大盘鸡;始发;担仔面;断袖之癖;昆曲;泇河;秦腔;红河;胡辣汤;芭拉芭拉;青团;青绿山水
originator	原研药;吞米桑布札;始作俑者;威利;威妥玛;开山祖师;来电答铃;韦格纳;魏格纳;麦克斯韦;鼻祖
origins	同宗同源;源于;缘起;追根溯源
oriole	仓庚;印度金黄鹂;朱鹂;细嘴黄鹂;莺;莺鸟;金黄鹂;鷬;鹂;鹊色鹂;鹙鹭;黄莺;黄鹂;黄鹏;黑头黄鹂;黑枕黄鹂
oriolus	仓庚;印度金黄鹂;朱鹂;细嘴黄鹂;金黄鹂;鷬;鹊色鹂;黄莺;黄鹂;黄鹏;黑头黄鹂;黑枕黄鹂
orion	三星;奥利安;奥赖恩;猎户座;猎户座大星云;猎户臂;觜;觜宿
orionid	猎户座流星雨
orionids	猎户座流星雨
orissa	奥里萨邦
orix	红寡妇鸟
orku	乌尔禾区
orlando	奥兰多
orleans	新奥尔良;纽奥良;贞德
ornament	㱾;㻅;佛;佩饰;回音;头面;头饰;拱璧;摆设;摆饰;攺;框子;步摇;涂装;玉佩;玘;珈;珰;珵;琫;璜;璬;盘头;縿;耳饰;装饰品;装饰物;逆回音;配饰;鍐;钿;锒;饰;饰品;饰巾;首饰;鬘;鸱甍
ornamental	俅;华表;幩;扳指;桥头堡;玙;琚;瑄;花园;花饰;英石;茶几;装饰;观赏;饰边;饰面
ornamentation	塔刹;珍珠母;花腔;螭首;装饰物
ornamented	洞房花烛;雕栏玉砌;雕梁画栋
ornaments	佩;卸头;卸妆;楘;瓖;衣饰;金饰;钖;银饰;鬗
ornate	华美;堆砌;彪;文饰;洛可可;流丽;瑰伟;瑰玮;绮靡;锦心绣口;雕琢
ornately	花烛
ornatus	彩虹蜂虎
ornery	吃枪药;嘎
ornithine	鸟胺酸
ornitholestoides	盗龙
ornithological	中国鸟类学会
ornithology	䎃;喜群飞;小美洲鸵;柳莺;粉䎃;红寡妇鸟;鸟类学
ornithopoda	鸟脚下目;鸟脚亚目
ornithosis	鸟疫;鸟疫衣原体;鹦鹉热
oroanassa	海南鳽
orochi	八岐大蛇
orochimaru	大蛇丸
orogenesis	造山;造山运动
orogenic	造山带
orogeny	印支期;碰撞造山;造山作用
oroqen	鄂伦春;鄂伦春族
oroqin	鄂伦春自治旗
orphan	孤儿;孤儿药;孤哀子;孤子;藐孤;遗孤;遗男
orphanage	保育院;孤儿院;育幼院
orphaned	丧父;六亲无靠;哀子;失怙;家破人亡;心影儿
orphans	孤寡;鳏寡孤独
orpiment	雄黄;雌黄
ors	口服补液盐
ortho-benzoquinone	邻苯醌
orthoclase	正长石
orthodontic	牙套;牙托;牙箍;牙齿矫正器;矫形牙套;齿列矫正
orthodontics	保持器;正畸;齿列矫正;齿颚矫正学
orthodox	东正教;修女;奥迹;正宗;正教;正统;神父
orthodoxy	正统;独尊;离经叛道;道统
orthogonal	横向;正交群;正投影
orthogonality	正交
orthographic	一发;乙女;亲子丼;出汁;制霸;味噌;唐扬;基;声优;大福;天龙人;子供向;少子化;干物女;异世界;感性工学;慰安妇;手筋;断舍离;暴论;棒读;森林浴;民宿;温玉;父上;痛车;社畜;空耳;结界;萌;被爆者;视奸;金平糖;镬气;鸟居
orthography	一致字;不一致字;正字法;正词法;浅层文字;隔音符号
orthokeratology	OK镜
orthopedic	矫形;矫形医生;矫形外科;骨水泥;骨科
orthopedics	整形;整形外科;骨科
orthoptera	直翅目;蝼蛄;蝼蛄科
orthotomus	长尾缝叶莺;鴂;黑喉缝叶莺
ortolan	圃鹀
orwell	乔治·奥威尔;动物农场;动物庄园;奥威尔
oryza	稻;糯米
oryzae	米麴菌
oryzivora	爪哇禾雀
os	颞骨
osaka	大坂;大阪;大阪府;大阪烧;近畿地方
osama	拉登;本·拉登;本拉登
oscar	奥斯卡;奥斯卡金像奖
osce	欧安组织;欧洲安全与合作组织;欧洲安全和合作组织
oscillate	摆动;游移不定;震荡
oscillation	振荡;电磁振荡;简谐;简谐振动;调和振动;谐振动
oscillator	振荡器;晶振;谐振子
oscillograph	示波器
oscilloscope	示波器
oscitans	钳嘴鹳
osculate	密切
osculation	切触
oseltamivir	奥司他韦
osetia	茨欣瓦利
osh	奥什
osi	实体层;开放系统互连
osier	柳条;笲
oslo	奥斯陆
osmanthus	丹桂;木犀;桂花;樨;蟾宫折桂
osmeridae	胡瓜鱼
osmium	銤;锇
osmosis	反渗透;渗透;逆渗透
osmotic	渗透压
osmunda	薇
osprey	雎;鱼鹰;鹗
oss	开放源码软件
ossetia	南奥塞梯;奥塞梯
ossicles	听小骨;听骨;听骨链;锤骨柄
ossification	骨化;鹿茸
ossify	硬化;骨化
ost	原声带
osteichthyes	硬骨鱼
ostensible	叶公好龙;同床异梦;名义;旗号
ostensibly	凡尔赛;曲线救国;胡温新政;被旅游;阴阳合同
ostentation	不事张扬;大吹大擂;排场;排面;轻车简从;铺张
ostentatious	宝马香车;摆谱;摆阔;有排面;浮华
ostentatiously	大模大样;张扬;扬长;招摇;招摇过市
osteoarthritis	骨关节炎
osteofluorosis	氟骨症
osteogenesis	成骨;成骨不全症;瓷娃娃
osteoma	骨瘤
osteopathy	正骨;正骨八法;骨病
osteophyte	骨赘
osteoporosis	骨质疏松;骨质疏松症
ostracized	还乡女
ostralegus	蛎鹬
ostreatus	平菇;秀珍菇;蚝菇
ostrich	驼鸡;鸵;鸵鸟;鸵鸟政策
ostriches	走禽
ostrovsky	奥斯特洛夫斯基
oswald	奥斯瓦尔德
otak	窝咑
otaku	宅女;宅男;御宅族;死宅;阿宅
otc	柜台;非处方药
otec	海洋温差发电
otgiin	鄂托克;鄂托克前旗;鄂托克旗
othello	奥赛罗
other	AB制;UP主;一丘之貉;一则以喜，一则以忧;一手交钱，一手交货;一点就通;一路货色;一边;一递一声;三个世界;三江并流;上发条;不一致字;不三不四;不对盘;不得已而为之;不耐受;不见不散;与;东风压倒西风;两码事;中纪委;丼;乘坐;九声六调;也就是;也就是说;争相;二郎腿;互不相让;互关;互助;互勉;互扔;互殴;互相;互相推诿;互补;互诉衷肠;五谷;交互;交加;交恶;交情匪浅;交欢;亦敌亦友;亲密无间;人家;人缘;从善如流;他;他人;他山之石可以攻玉;他用;他者;仙侠;以外;价;会审;会车;住海边;体贴;依山傍水;俗随时变;保驾;修音;倒手;偲偲;入园;其二;其他;其它;兼课;内斗;再就是;冰糖葫芦;冲剂;冲泡;出人意外;分别;分袂;分身乏术;切音;刊载;别;别人;别无;别无选择;别有;别的;剃头挑子一头热;副食品;劳燕分飞;勾心斗角;南西诸岛;卤蛋;厚此薄彼;厚薄;厮;参选;双拥;双簧;反之;反切;反正一样;反过来说;反面;另;另一;另一半;另一方面;另册;另外;另有;只好;只能;合伙人;合租;同一挂;同性相斥;同病相怜;听见风就是雨;吴头楚尾;和好;和棋;和睦相处;哦;唾面自干;国家主席;地狱笑话;垃圾车;埃斯库多;塑料普通话;复转;外乡;外借;外地;外教;外边;多管闲事;大小眼;大水冲了龙王庙;大眼瞪小眼;天各一方;天梯;天涯;天生的一对;套红;奶白菜;如影随形;定点茶;家花没有野花香;宾天;对上;对坐;对峙;对方;对望;对过;对阵;导读;小三;小道;小钢炮;尔虞我诈;尬舞;就是说;尺有所短，寸有所长;屾;崇奉;左右开弓;左耳入，右耳出;常来常往;幸灾乐祸;开房间;开采;异;张华;张揖;弹琴;形影相吊;形影相随;彼岸;彼此;怒目相向;情侣头像;情头;情投意合;情非得已;想方设法;成串;或是;截长补短;戴盆望天;打得火热;打扰了;抱拳;抽动;拔出萝卜带出泥;拾人牙慧;指腹为婚;换句话说;换而言之;换言之;排比;接踵而来;掩映;搅和;搜神记;撕破脸;支子;改天;改日;旁;旁人;无异;无话不说;无话不谈;日前;日流;易言之;望尘莫及;本省人;杂粮;村证房;板房;架二郎腿;栏;栲;格机;桥头堡;梯子;歌台;此消彼长;步人后尘;毒唯;水罐;永安;海选;渊薮;湘绣;潇湘;濡沫涸辙;火辣辣;炝;炸酱面;热播剧;熔浆;牙慧;物;狗屎运;独处;猜枚;猴子偷桃;琉球群岛;甘纳豆;电气化;瘀滞;白汤;相;相争;相互;相亲;相亲相爱;相亲角;相伴;相保;相切;相容;相左;相得益彰;相恋;相拥;相敬如宾;相映成趣;相望;相濡以沫;相熟;相爱;相爱相杀;相见;相见恨晚;相视;相视而笑;相觑;相认;相识;相轻;相配人;相骂;看球;着想;破读;社员;禾苗;移用;竞艳;第三者;筑牢;管闲事;粤绣;糖葫芦;紫菜包饭;红烛;练功;绿旗兵;绿营;绿营兵;缠绵不已;罗贯中;美发;翘二郎腿;老头乐;老婆饼;耦语;耳旁风;耳边风;聚宝盆;聚少离多;聚敛;背部;胎体;胞波;脂环烃;脊梁;脊背;脚跟脚;脱产;脱胎换骨;腰封;腻歪;自媒体;自相;臭臭锅;舍己为人;色酒;芝焚蕙叹;花果山;花红;苍龙;苏绣;莫属;落花有意，流水无情;虎符;蜀绣;行装;衣物;裙带关系;裙带风;裸机;要么;见面;认床;话又说回来;话说回来;话里套话;贪天之功;赶海;起重;越侨;越俎代庖;车子;车轮饼;轨道;转注;转注字;这就是说;这山望着那山高;连三并四;连串;送终;逆断层;通气;避风塘;那天;酒味;醉翁之意不在酒;鉴黄;鋬;针尖对麦芒;针锋相对;锡蜡;锡镴;锦囊;键;长揖;长物;门;闲事;陆续;陌陌;随声附和;隒;非此即彼;面面相觑;韭菜盒子;顺延;顾此失彼;飘香;飞刀;饭桶;饶富;马尿;鬼扯腿;鱼与熊掌;鱼与熊掌不可兼得;鱼贯;鲊;鳽;鸡同鸭讲;鸳鸯锅;鸾飘凤泊;鹣鹣;鹬蚌相争，渔翁得利;黑白无常
othering	他者化
otherization	他者化
otherness	他性;他者性
others	一并;不做亏心事，不怕鬼敲门;不劳而获;不恤人言;不知好歹;不足为外人道;与人为善;与人方便，自己方便;专断;为人;为人师表;乐于助人;争强好胜;二毛子;人梯;人比人，气死人;人走茶凉;从井救人;他者;代书;以儆效尤;以邻为壑;仰人鼻息;传呼电话;传观;伥;伥鬼;倒粪;倚老卖老;借鉴;借镜;偏废;偏科;傍人篱壁;先头;先行;公诸同好;共处;其余;凑趣;出示;分给;利他;别人;助人;助人为乐;助人为快乐之本;包办代替;占为己有;占便宜;卸责;取长补短;吃人家的嘴软，拿人家的手短;吃人血馒头;吃大户;吃白饭;合群;同声一哭;同流合污;听见风就是雨;周旋;和;哭闹;善解人意;嘴替;因人成事;国语罗马字;坐山观虎斗;坐收渔利;复社;外传;外协;天煞孤星;天龙人;夫子自道;套间;好为人师;嫁祸于人;孤家寡人;宰割;害人之心不可有，防人之心不可无;宽以待人;寄生;小辫子;居功自傲;己所不欲，勿施于人;平生不做亏心事，半夜敲门心不惊;异己;引战;引玉之砖;当仁不让;心头好;忠恕;怀璧其罪;急人之难;急难;怨天尤人;成人之美;打小算盘;打狗还得看主人;打草惊蛇;抛砖引玉;拉不出屎来怨茅房;拔茅连茹;拼客;拼桌;拾人牙慧;拾遗;挂一漏万;挤;损人;损人不利己;损人利己;排雷;掠美;接盘;推来推去;推诿;揩油;摩顶放踵;攀供;攘善;教师爷;旁若无人;晒客;杀一儆百;杀鸡儆猴;杀鸡给猴看;株;株治;株连;棋子;正外部性;武侯祠;残羹剩饭;比烂;求助于人;泥菩萨过江，自身难保;洗衣网;渔利;热心肠;焚砚;爱人如己;爱心;爱面子;牡丹虽好，全仗绿叶扶持;牡丹虽好，全凭绿叶扶持;牡丹虽好，终须绿叶扶持;狗仗人势;独具只眼;独大;独行其是;玩人丧德;生杀予夺;甩手掌柜;男人膝下有黄金;百闻不如一见;着想;知人者智，自知者明;知冷知热;礼让;社鼠城狐;绝情;网络语音;耍宝;耍无赖;耳闻不如目见;职权;肥水不流外人田;脱颖而出;自叹不如;自愧不如;自欺欺人;自私自利;自觉;臭架子;舍己;舍己为人;舍己救人;苦主;草船借箭;莫讲;莲花;落落难合;虚己以听;装神弄鬼;见猎心喜;解囊;讨便宜;讹传;诸子;诸子十家;负外部性;贼喊捉贼;过人;返券黄牛;迳自;遗志;邯郸学步;随声附和;隐病不报;隔岸观火;雷同;非异人任;音意合译;颜控;骄人;高人一等;鸭霸
otherwise	不然;再不然;北京咳;占压;否则;咬字;大逆不道;得便宜卖乖;有意无意;气量;水能载舟，亦能覆舟;要不;要不然;讼棍;连麦;际遇;除非
otherworldly	不食人间烟火
otis	大鸨
otitis	中耳炎
otocolobus	兔狲
otog	鄂托克;鄂托克前旗;鄂托克旗
otogenic	耳源性
otolaryngology	耳鼻咽喉
otolith	耳石
otolithoidesmiiuy	𩾃
otome	乙女;乙游
otranto	奥特朗托;奥特朗托海峡
ottawa	渥太华
otter	水獭;海獭;猵;獭;鼬科
otto	俾斯麦;奥托;李德;铁血宰相
ottoman	墩子;奥斯曼;奥斯曼帝国;鄂图曼帝国
otus	北领角鸮;琉球角鸮;红角鸮;纵纹角鸮;西红角鸮;角鸮;长耳鸮;领角鸮;鸣角鸮;黄嘴角鸮
ou	区;欧;殴
ouagadougou	瓦加杜古
ouch	哎呦;哎哟
oudin	奥丁谐振器
ought	一是一，二是二;不合;合该;应;应当;应该;当;得;本应;活该;理应;理当;该
ouhai	瓯海区
ouija	扶箕;碟仙;通灵板
oukubo	大久保利通
oulu	奥卢
ounce	一寸光阴一寸金，寸金难买寸光阴;争斤论两;唡;安士;寸金难买寸光阴;打兰;斤斤计较;盎司;英两
ounces	四两拨千斤
our	人马臂;伲;俗世奇人;俺们;先达;内飞地;农友;冯骥才;咱家;圣母教堂;境由心生;外飞地;小号;己方;我们;我司;我国;我方;时运亨通;本位货币;本币;本市;每逢佳节倍思亲;河外星系;活神仙;猎户臂;生命在于运动;童叟无欺;老吾老，以及人之老;老吾老，以及人之老，幼吾幼，以及人之幼;老少无欺;自己人;花地玛堂区;英仙臂;银河系;阿拉;雅教
ourselves	不足为外人道;开诚布公;我们;敌我矛盾;自己人
oust	废;撵;撵出;撵走;斥
out	一;一丝不苟;一反常态;一扫而空;一探究竟;一本万利;一空;一笔抹杀;一见高低;一语成谶;万人空巷;万死不辞;万般无奈;万马齐喑;三振;上新;上气不接下气;上纲上线;上馆子;下台阶;下海;下田;下课;下车;下馆子;不为已甚;不伦不类;不俗;不入时宜;不兴;不分胜负;不可收拾;不合;不合时宜;不同凡响;不同寻常;不吐不快;不在;不在状态;不平则鸣;不幸言中;不得而知;不期然而然;不爽;不甘寂寞;不看僧面看佛面;不行;不起眼;不过尔尔;不送;不适;与众不同;丛生;两肋插刀;严刑;丧胆;丧魂失魄;丧魂落魄;义正辞严;之一;买断;了却此生;了如指掌;了此残生;了解;事与愿违;于;交往;交钱;亮相;人不为己，天诛地灭;人困马乏;仔细;仗义执言;付之度外;付诸实施;令行禁止;以夷制夷;仰屋兴叹;传出神经;伸开;伸手;伸直;余光;作出;你看着办吧;侇;侦破;信口;信口开河;信口胡说;俨然;修理;倒;倒槽;倒空;倒苦水;倒过儿;倒霉;借命;倦怠;倾;倾倒;倾吐;倾吐胸臆;倾吐衷肠;倾囊;倾巢;倾巢来犯;倾巢而出;倾心吐胆;偏偏;偏劳;做出;做眼;停办;停机;健身;偷空;傲视群伦;僻;儽;充填;先进先出;光明正大;免谈;全歼;六神无主;关张;兴师动众;内外兼修;冒;冬笋;冲出;冲口而出;冲掉;凉快;凸;凸出;凸显;凸现;出;出产;出人头地;出人意外;出众;出借;出入;出列;出动;出包;出卖;出去;出圈;出土;出声;出外;出大差;出头;出头的椽子先烂;出头鸟;出尖;出局;出山;出师;出来;出柜;出气;出水;出海;出淤泥而不染;出清;出炉;出猎;出界;出示;出站;出笼;出线;出航;出苗;出行;出货;出路;出迎;出门;出险;出餐;出马;分租;分赴;切除;划掉;列印;删减;别树一帜;别树一旗;刳;制成;制胜;制订;刷爆;刺杀;剅;剔;剜;剪;剪草除根;割除;力竭;加以;加塞儿;加足马力;劣币驱逐良币;努出;努嘴;劫囚;劳倦;劳累;勃发;勚;勾;勾出;勾画;化开;化解;北叟失马;十之八九;十有八九;十赌九输;半死;卑之，无甚高论;卑之，毋甚高论;卓乎不群;卖光了;卖完;南极洲半岛;卡位;危若朝露;压挤;原来;厮混;去掉;参选;反;反悔;反目;反目成仇;反裘负刍;反转;发;发作;发出;发刊;发包;发挥;发生;发笑;发货;发足;发飙;取保;取出;取景框;变心;变色易容;口出狂言;叫唤;叫床;台阶;号;吃亏;吃馆子;吆五喝六;同途殊归;名不副实;后进先出;吐;吐口;吐故纳新;吐气;吐舌头;吐苦水;向隅;吓一跳;吓破胆;吞云吐雾;吞吐;启程;吹灭;吹灯拔蜡;吹熄;吹风;告吹;告罄;呕心沥血;呛;呠;呼;呼之欲出;呼出;呼号;呼唤;呼嚎;呼天抢地;呼气;和盘托出;和解;咔嚓;咻;哈哈;哈哈笑;响起;哭得死去活来;售;售完;售罄;唱念;唱票;喁;喊;喊住;喊冤;喊叫;喜当爹;喝凉水都塞牙;喷出;喷涌;喷薄;喷饭;嘴软;噀;噤若寒蝉;四仰八叉;四出文钱;四大;回神;因祸得福;团灭;在野;坐不垂堂;坐冷板凳;坐实;坐立难安;垒砌;垫;基操;堆砌;塞翁失马;塞翁失马安知非福;塞翁失马焉知非福;塞责;填表;处方;复;复出;复刻;外出;外流;外溢;外送;外食;外食族;多嘴;夜不归宿;够;大兴土木;大吃;大干;大风吹;大骂;天津会议专条;夫妻反目;失传;失准;失去后劲;失口;失声;失序;失张失智;失控;失格;失灵;失言;失调;失责;夷;夷灭;夺;夺门而出;奉公守法;奔袭;套现;套话;套问;嫉恨;安然无恙;完封;实施;实行;实践;审查;客满;宣读;家常便饭;寂灭;寄养;寄发;察访;对消;寻仇;寻出;封杀;小胜;尘埃落定;就地正法;尽心尽力;尽言;展;展列;展平;展开;属实;履行;履践;崭露头角;左耳入，右耳出;布下;布置;布防;干号;干嚎;干燥;干瘪;干透;平平常常;平摊;并未;幺;废旧;度日;廓清;延展;开;开刀;开导;开打;开拔;开挖;开方;开票;开腔;开解;开账;开黑店;弃若敝屣;弄不清;弄懂;弄明白;引以为戒;引出;张扬;弹尽援绝;弹尽粮绝;当心;当面锣，对面鼓;彩虹行动;彻头彻尾;往外;征名责实;待岗;徇情;徒有其名;徒有虚名;得知;心如刀割;心绪不佳;心胆俱裂;忘却;念诵;急难;怼;恍;恰好;悠;悠悠;惊叫;惊呼;惊慌失措;想不开;想出;想通;愚弄;慕名;憷头;成年累月;成组;所指;打前站;打卡;打印;打天下;打捞;打探;打爆;打理;扔掉;执行;扫;扫盲;扫除;扯直;扳动;批办;找出;抉;抓功夫;抓小辫子;抓工夫;抓狂;投保;投杀;投石问路;抖;抖搂;抖落;折;抛出;抛头露面;抛开;抛洒;抛砖引玉;报仇雪恨;报销;披;抱薪救火;抵消;抹平;抹杀;抹黑;抻;抻面;抽;抽出;抽插;抽气;拆借;拆台;拉平;拉开;拉满;拉长;拔;拔出萝卜带出泥;拔取;拔地而起;拔掉;拔毒;拔毛;拔除;拔高;拖堂;拖长;招呼;拣;拣选;拨乱反正;拨出;择;择不开;择刺;拳打脚踢;拼;拼到底;拼死;拾荒;拿出;挂一漏万;挂羊头卖狗肉;指出;指指点点;指正;指点;指示;指腹为婚;指鹿为马;挓;挖;挖掉;挖穴;挤出;挤压;挤垮;挤对;挤牙膏;挦;挹;挹取;挹酌;挺;挼;捏一把冷汗;捏一把汗;捭;掉队;掏;掏出;掏空;掏腰包;掏钱;排名榜;排布;排挤;排空;排走;排除;掘出;探;探口气;探口风;探听;探头;探头探脑;探察;探店;探查;探知;探身;探身子;探骊得珠;推出;推行;推陈出新;推陈布新;揄;提款;提示;提神;提纲挈领;揣摩;揪出;揭露;揰;揲;揸;搜检;搣;搪;搬出去;搭把手;摆事实讲道理;摆出;摆放;摆脱;摆设;摊;摊开;摊晒;摘;摩顶放踵;摸清;撅;撕掉;撤出;撤掉;撵出;撵走;撸铁;擢;攘除;支出;支招;收山;收拾;收银机;改弦易辙;放;放出;放宽;放水;放线;放羊;放风;效果图;救火;敝;敢怒而不敢言;敢情;敢言;散出;数出;整年累月;整理;整装;敷;敷设;斠;斥责;断档;断章取义;断粮;断行;断货;新出炉;方城;施工;无业;无事生非;无可奈何;无法无天;无疾而终;无精打采;无计可施;无货;无路可逃;昂首挺胸;明处;昏天黑地;昏头;是骡子是马，牵出来遛遛;昼伏夜出;晕;晕倒;暴发;暴走;有失远迎;有屁快放;有意栽花花不发，无心插柳柳成阴;有戏;有话快说;期满;未始;朽木不可雕;杀出重围;杠掉;条陈;来得;来踪去迹;杳茫;构思;析出;枪打出头鸟;查出;查明;查清;查看;标兵;标定;标注;栉;梊;梳理;棺材板;榨取;横征暴敛;欠费;欠身;歇业;歇后语;此消彼长;歪斜;死绝;歼灭;残渣;毛毛的;水中捞月;求存;汗;江湖;汰旧换新;没事;没治;没精打采;没脸;没苦硬吃;没辙;没齿难忘;治;治丝益棼;治丧;泄;泄出;泄漏天机;泄私愤;泄露天机;泡汤;泪人;泯;泯灭;泻;洁身自好;洗雪;洞;活动;活路;派单;流出;流片;涂;涂去;消亡;涉世;涌出;涌溢;涌起;淄蠹;淘;淘汰;淡出;深谋远略;淹没;淹盖;清仓;清查;清涤;清退;渐弱;渐稀;渗出;溜边;溜边儿;滑出;滚开;滚瓜烂熟;滚粗;滚蛋;满口脏话;满口谎言;满地找牙;滤出;滤除;滴水不漏;漏;漏掉;漏泄天机;演;演绎;潠;濡沫涸辙;瀱;火中取栗;灭;灭亡;灭团;灭绝;炸锅;点儿背;点出;点明;点破;点背;点醒;点题;烂;烧胎;烫平;焦头烂额;煞气;熄;熄火;熄灭;熄灯;爆出;爆发;爆痘;爆笑;爆舱;爬格子;物色;独树一帜;猜不透;猜中;猪瘾;王明;玩儿;玩转;珠胎暗结;理顺;琴瑟不调;瓜熟蒂落;生疏;生路;用光;用坏;甩开膀子;由怜生爱;男主外，女主内;留后路;留步;略举;略去;疏挖;病从口入，祸从口出;痛失;痛骂;登出;百分之百;盘杠子;直陈;相得益彰;相濡以沫;省;省略;看;看出;看球;眼睛吃冰淇淋;眼里容不得沙子;着手;着手成春;睥睨;瞎指挥;瞒心昧己;知难而退;矬子里拔将军;矮子里拔将军;破;破亡;破口大骂;硬挺;碍口;碥;磨;磨嘴皮子;磨损;磨破嘴皮子;磨耗;祃;神差鬼使;神隐;祼;禁足;离谱;私了;秋风扫落叶;科;租;租佃;租让;积年累月;穵;穷困潦倒;穷途末路;空室清野;空巢;空降;穿反;穿破;突;突围;突显;突起;突起部;窥知;窾;端;竹筒倒豆子;笃行;筛除;筹出;筹谋;签出;算;算出;米汤;粗制滥造;精疲力尽;精疲力竭;累;累垮;累死累活;红男绿女;纤悉无遗;纸包不住火;纾困;终其天年;经商;结;结舌;绝版;绝粮;绞杀;维持生活;绿女红男;绿皮车;缉查;编排;缩卵;缺阵;网开一面;网开三面;罗列;罗布;罗雀掘鼠;罚写;置身事外;羊触藩篱;羝羊触藩;翘班;翻悔;翻盘;翻脸;翻脸不认人;老天爷饿不死瞎家雀;老子;老掉牙;老登;耍废;耳旁风;耳边风;肄业;背时;背气;胎死腹中;胜出;胡吃海喝;脑袋开花;脱口;脱口而出;脱困;脱壳;脱期;脱档;脱水;脱漏;脱缰之马;脱胎;脱落;脱货;脱贫;脱钩;脱销;脱险;腾;腾挪;膈应;自掏腰包;自救;自查;臭骂;舀;舀汤;舒展;节上生枝;花钱找罪受;苟且偷生;苦思;荒;荒疏;获悉;落;落单;落实;落托;落拓;落泊;落潮;落车;落魄;蒙混过关;薅羊毛;藏私;虚惊一场;蜃;蝇营狗苟;血债累累;血洗;血路;行刑;衍;衰亡;裁;裁剪;裸贷;褪;见真章;观衅伺隙;规划;觅取;解决;解出;解吸;解围;解救;誊;誊录;謇;计划;订出;讨生活;让开;论理;评理;诈;试做;试制;试办;试探;试点;试玩;试用;试行;诛尽杀绝;诛暴讨逆;诛灭;诛锄异己;诛除;说出;说漏嘴;读;读出;谈不上;贯彻;贳;费尽心机;赔付;赤膊上阵;走出;走嘴;走宝;走形;走形儿;走调;走路;走音;赶海;赶走;赶跑;起;起圈;起家;起床;起开;起步;起程;超乎寻常;超凡;越境;越狱;越轨;趴窝;跃然;跃然纸上;跑出;跑调;跳伞;跳出;跳出火坑;跳挡;践行;踏破铁鞋;踏破门槛;蹲守;蹿;身心交病;身心交瘁;躬履;躲开;躲得过初一，躲不过十五;躲让;躲躲闪闪;躲闪;躲风;躺平;车到山前必有路;车到山前必有路，船到桥头自然直;较著;辍学;辍食吐哺;迁怒;过时;过瘾;迈出;迎敌;运出;进出;进行;进袭;进退两难;进退为难;进退维谷;远水救不了近火;远逝;违和;连锅端;迷晕;迷离;追新;追查;追歼;退出;退房;退潮;退让;退路;退选;送养;送客;送旧迎新;逃不出;逃离;选出;透支;透露;逐出;逐客令;逞;逸尘;遗落;遛娃;遥不可及;遮风避雨;避坑落井;避让;避风;邪招;酒后吐真言;酹;醉倒;醉翁之意不在酒;采取;里出外进;里勾外连;里外;里里外外;钱庄;铆上;铤而走险;铲除;铺垫;铺展;铺平;铺摊;铺衍;铺陈;锁掉;锄奸;锄强扶弱;锦囊妙计;锻炼;镊;长年累月;长揖;长点心眼;长达;闪;闪开;闪让;闭塞;闭目塞听;问世;问罪之师;闲晃;间;间苗;闹别扭;闹矛盾;闹翻;闻出;闻到;闻过则喜;阑出;陈;陈旧;陈设;除;除尘;除恶务尽;除暴安良;除根;除祟;隐没;雅正;雪藏;震昏;露底;露苗;露营;露馅;青出于蓝而胜于蓝;非凡;非同凡响;非婚生;非洲单源说;面世;革出;顺口;顺嘴;顺嘴儿;顺路;顿;颁;飞出;飞线;飞线充电;飞鹰走马;饾;马脚;驱赶;驱邪;驱魔;驱魔赶鬼;骀;骂到臭头;骗走;骨鲠;骨鲠在喉;高高在上;鬼使神差;魂不守舍;魂不附体;魂飞魄散;鱼贯而出;鸣不平;麻花;默算;鼎革;鼓起;齐;龅
out-and-out	不折不扣;透顶
out-of-body	灵魂出窍
out-of-court	庭外
out-of-date	旧皇历;都什么年代了
out-of-season	反季;反季节;飞行检查
out-of-the-way	乡僻;僻处;冷僻;旮旯;荒僻;遐荒
out-of-towner	外乡人
outage	停水;断电;来电
outback	腹地
outbound	出境;去程;往外;往程
outbreak	战端
outcall	出钟
outclass	远超过
outcome	修成正果;决胜负;坐观成败;奉承讨好;异曲同工;必然结果;打哪儿指哪儿;把握;无心插柳;有赖;眉目;究竟;竞猜;笃定;筹商;终局;结局;结果;胜负;讨好;转归;输赢;运筹帷幄之中，决胜千里之外;顺导
outcomes	未卜
outcrop	乌鲁鲁
outcry	不平则鸣;叫喊
outdated	旧闻;明日黄花;老;老化;老式;背时;落伍;退役;钻故纸堆;陈陈相因
outdistance	甩远
