一	GGLL,GGL,G
蛤	JWGK,JWG,JW
喝	KJQN,KJQ
鹃	KEQG,KEQ
喂	KLGE,KLG
喘	KMDJ,KMD
喉	KWND,KWN
喻	KWGJ
啼	KUPH,KUP,KU
喧	KPGG,KPG,KP
嵌	MAFW,MAF
幅	MHGL,MHG
帽	MHJH,MHJ
赋	MGAH,MGA
赌	MFTJ
赎	MFND,MFN
赐	MJQR,MJQ
赔	MUKG,MUK
黑	LFOU,LFO
铸	QDTF,QDT
铺	QGEY,QGE
链	QLPY,QLP
销	QIEG,QIE
锁	QIMY,QIM
锄	QEGL
锅	QKMW,QKM
锈	QTEN
锋	QTDH,QTD
锌	QUH
锐	QUKQ,QUK
甥	TGLL
掰	RWVR
短	TDGU,TDG
智	TDKJ
氮	RNOO,RNO
毯	TFNO
氯	RNVI,RNV
鹅	TRNG
剩	TUXJ
稍	TIEG,TIE
程	TKGG
稀	TQDH,TQD
税	TUKQ,TUK
筐	TAGF,TAG
等	TFFU
筑	TAMY,TAM
策	TGMI,TGM
筛	TJGH
筒	TMGK
筏	TWAR,TWA
答	TWGK,TWG,TW
筋	TELB
筝	TQVH
傲	WGQT
傅	WGEF,WGE
牌	THGF
堡	WKSF
集	WYSU,WYS
焦	WYOU,WYO
傍	WUPY,WUP
储	WYFJ,WYF
皓	RTFK
皖	RPFQ,RPF
粤	TLON,TLO
奥	TMOD,TMO
街	TFFH
惩	TGHN
御	TRHB,TRH
循	TRFH
艇	TETP,TET
舒	WFKB
逾	WGEP
番	TOLF,TOL
释	TOCH,TOC
禽	WYBC,WYB
腊	EAJG,EAJ
脾	ERTF,ERT
腋	EYWY
腔	EPWA,EPW
腕	EPQB,EPQ
鲁	QGJF,QGJ
猩	QTJG
猬	QTLE
猾	QTME,QTM
猴	QTWD,QTW
惫	TLNU,TLN
然	QDOU,QDO,QD
馈	QNKM,QNK
馋	QNQU
装	UFYE,UFY
蛮	YOJU,YOJ
就	YIDN,YI
敦	YBTY,YBT
斌	YGAH,YGA
痘	UGKU
痢	UTJK,UTJ
痪	UQMD,UQM
痛	UCEK,UCE
童	UJFF
竣	UCWT,UCW
阔	UITD,UIT
善	UDUK
翔	UDNG
羡	UGUW,UGU
普	UOGJ,UOG,UO
粪	OAWU
尊	USGF,USG
奠	USGD
道	UTHP
遂	UEPI,UEP
曾	ULJF,ULJ,UL
焰	OQVG,OQV
港	IAWN
滞	IGKH,IGK
湖	IDEG,IDE
湘	ISHG
渣	ISJG
渤	IFPL,IFP
渺	IHIT,IHI
湿	IJOG,IJO
温	IJLG,IJL
渴	IJQN,IJQ
溃	IKHM,IKH
溅	IMGT
滑	IMEG,IME
湃	IRDF,IRD
渝	IWGJ
湾	IYOX,IYO
渡	IYAC,IYA
游	IYTB
滋	IUXX,IUX
渲	IPGG,IPG
溉	IVCQ,IVC
愤	NFAM,NFA
慌	NAYQ,NAY
惰	NDAE,NDA
愕	NKKN,NKK
愣	NLYN,NLY
惶	NRGG
愧	NRQC,NRQ
愉	NWGJ,NWG,NW
慨	NVCQ,NVC
割	PDHJ
寒	PFJU,PFJ
富	PGKL,PGK
寓	PJMY,PJM
窜	PWKH,PWK
窝	PWKW
窖	PWTK
窗	PWTQ,PWT
窘	PWVK
遍	YNMP,YNM
雇	YNWY
裕	PUWK,PUW
裤	PUYL,PUY
裙	PUVK
禅	PYUF
禄	PYVI,PYV
谢	YTMF,YTM
谣	YERM,YER
谤	YUPY,YUP
谦	YUVO,YUV
犀	NIRH,NIR
属	NTKY,NTK
屡	NOVD,NOV,NO
强	XKJY,XKJ,XK
粥	XOXN,XOX
疏	NHYQ,NHY
隔	BGKH,BGK
隙	BIJI,BIJ
隘	BUWL,BUW
媒	VAFS,VAF
絮	VKXI,VKX
嫂	VVHC,VVH
媚	VNHG,VNH
婿	VNHE
登	WGKU
缅	XDMD
缆	XJTQ,XJT
缉	XKBG,XKB
缎	XWDC,XWD
缓	XEFC,XEF
缔	XUPH,XUP
缕	XOVG,XOV
骗	CYNA
编	XYNA
骚	CCYJ
缘	XXEY,XXE
瑟	GGNT,GGN
鹉	GAHG
瑞	GMDJ,GMD
瑰	GRQC,GRQ
瑙	GVTQ,GVT
魂	FCRC,FCR
肆	DVFH,DVF,DV
摄	RBCC
摸	RAJD
填	FFHW,FFH
搏	RGEF
塌	FJNG,FJN
鼓	FKUC
摆	RLFC,RLF
携	RWYE
搬	RTEC,RTE
摇	RERM,RER
搞	RYMK,RYM
塘	FYVK,FYV
摊	RCWY,RCW
聘	BMGN,BMG
斟	ADWF,ADW
蒜	AFII,AFI
勤	AKGL
靴	AFWX
靶	AFCN,AFC
鹊	AJQG
蓝	AJTL,AJT
墓	AJDF
幕	AJDH
蓬	ATDP
蓄	AYXL,AYX
蒲	AIGY
蓉	APWK,APW
蒙	APGE,APG
蒸	ABIO,ABI,AB
献	FMUD
椿	SDWJ
禁	SSFI,SSF
楚	SSNH,SSN
楷	SXXR,SXX,SX
榄	SJTQ
想	SHNU,SHN
槐	SRQC,SRQ
榆	SWGJ
楼	SOVG,SOV
概	SVCQ,SVC
赖	GKIM
酪	SGTK,SGT
酬	SGYH
感	DGKN
碍	DJGF,DJG
碘	DMAW,DMA
碑	DRTF,DRT
碎	DYWF,DYW
碰	DUOG,DUO
碗	DPQB,DPQ
碌	DVIY,DVI
尴	DNJL
雷	FLF
零	FWYC
雾	FTLB,FTL
雹	FQNB,FQN
辐	LGKL,LGK
辑	LKBG,LKB
输	LWGJ,LWG
督	HICH
频	HIDM,HID
龄	HWBC
鉴	JTYQ
睛	HGEG,HGE,HG
睹	HFTJ,HFT
睦	HFWF,HFW,HF
瞄	HALG,HAL
睫	HGVH,HGV
睡	HTGF,HTG,HT
睬	HESY,HES
嗜	KFTJ
鄙	KFLB,KFL
嗦	KFPI
愚	JMHN
暖	JEFC,JEF
盟	JELF,JEL
歇	JQWW,JQW
暗	JUJG,JUJ,JU
暇	JNHC,JNH
照	JVKO
畸	LDSK,LDS
跨	KHDN,KHD
跷	KHAQ
跳	KHIQ,KHI
跺	KHMS,KHM
跪	KHQB
路	KHTK,KHT
跤	KHUQ
跟	KHVE,KHV
遣	KHGP,KHG
蜈	JKGD,JKG
蜗	JKMW,JKM
蛾	JTRT,JTR
蜂	JTDH,JTD
蜕	JUKQ,JUK
嗅	KTHD
嗡	KWCN,KWC
嗓	KCCS,KCC
署	LFTJ
置	LFHF
罪	LDJD,LDJ
罩	LHJJ,LHJ
蜀	LQJU,LQJ
幌	MHJQ
错	QAJG,QAJ
锚	QALG,QAL
锡	QJQR,QJQ
锣	QLQY,QLQ
锤	QTGF
锥	QWYG,QWY
锦	QRMH,QRM
键	QVFP
锯	QNDG,QND
锰	QBLG,QBL
矮	TDTV
辞	TDUH
稚	TWYG,TWY
稠	TMFK
颓	TMDM
愁	TONU
筹	TDTF
签	TWGI
简	TUJF,TUJ
筷	TNNW,TNN
毁	VAMC,VAM,VA
舅	VLLB,VLL,VL
鼠	VNUN,VNU
催	WMWY,WMW
傻	WTLT
像	WQJE,WQJ
躲	TMDS
魁	RQCF
衙	TGKH,TGK
微	TMGT,TMG
愈	WGEN
遥	ERMP,ERM,ER
腻	EAFM,EAF
腰	ESVG,ESV
腥	EJTG,EJT
腮	ELNY
腹	ETJT,ETJ
腺	ERIY,ERI
鹏	EEQG,EEQ
腾	EUDC,EUD
腿	EVEP,EVE
鲍	QGQN,QGQ
猿	QTFE
颖	XTDM,XTD
触	QEJY
解	QEVH,QEV
煞	QVTO,QVT
雏	QVWY,QVW
馍	QNAD
馏	QNQL
酱	UQSG
禀	YLKI
痹	ULGJ
廓	YYBB,YYB
痴	UTDK
痰	UOOI,UOO
廉	YUVO
靖	UGEG,UGE
新	USRH,USR
韵	UJQU
意	UJNU,UJN
誊	UDYF
粮	OYVE,OYV
数	OVTY,OVT
煎	UEJO
塑	UBTF
慈	UXXN
煤	OAFS,OAF,OA
煌	ORGG,OR
满	IAGW
漠	IAJD,IAJ
滇	IFHW
源	IDRI,IDR
滤	IHAN,IHA
滥	IJTL,IJT
滔	IEVG,IEV
溪	IEXD,IEX
溜	IQYL
漓	IYBC
滚	IUCE,IUC
溢	IUWL,IUW
溯	IUBE,IUB
滨	IPRW,IPR
溶	IPWK
溺	IXUU,IXU
粱	IVWO
滩	ICWY,ICW
慎	NFHW,NFH
誉	IWYF
塞	PFJF
寞	PAJD,PAJ
窥	PWFQ
窟	PWNM,PWN
寝	PUVC
谨	YAKG,YAK
褂	PUFH
裸	PUJS
福	PYGL,PYG
谬	YNWE
群	VTKD,VTK
殿	NAWC,NAW
辟	NKUH,NKU
障	BUJH,BUJ
媳	VTHN
嫉	VUTD,VUT
嫌	VUVO,VUV,VU
嫁	VPEY,VPE
叠	CCCG
缚	XGEF,XGE
缝	XTDP
缠	XYJF,XYJ
缤	XPRW,XPR
剿	VJSJ
静	GEQH,GEQ
碧	GRDF,GRD
璃	GYBC,GYB
赘	GQTM
熬	GQTO
墙	FFUK
墟	FHAG
嘉	FKUK,FKU
摧	RMWY,RMW
赫	FOFO,FOF
截	FAWY,FAW
誓	RRYF
境	FUJQ,FUJ
摘	RUMD,RUM
摔	RYXF,RYX
撇	RUMT
聚	BCTI,BCT
慕	AJDN
暮	AJDJ
摹	AJDR
蔓	AJLC,AJL
蔑	ALDT
蔡	AWFI,AWF
蔗	AYAO,AYA
蔽	AUMT,AUM
蔼	AYJN,AYJ
熙	AHKO
蔚	ANFF,ANF
兢	DQDQ,DQD
模	SAJD,SAJ
槛	SJTL,SJT
榴	SQYL,SQY
榜	SUPY,SUP
榨	SPWF,SPW
榕	SPWK
歌	SKSW
遭	GMAP
酵	SGFB
酷	SGTK
酿	SGYE
酸	SGCT,SGC
碟	DANS,DAN
碱	DDGT,DDG
碳	DMDO,DMD
磁	DUXX,DUX,DU
愿	DRIN
需	FDMJ,FDM
辖	LPDK
辗	LNAE,LNA
雌	HXWY,HXW
裳	IPKE
颗	JSDM,JSD
瞅	HTOY,HTO
墅	JFCF
嗽	KGKW
踊	KHCE,KHC
蜻	JGEG,JGE
蜡	JAJG,JAJ
蝇	JKJN,JKJ,JK
蜘	JTDK
蝉	JUJF
嘛	KYSS,KYS,KY
嘀	KUMD,KUM
赚	MUVO,MUV
锹	QTOY,QTO
锻	QWDC,QWD
镀	QYAC,QYA
舞	RLGH,RLG
舔	TDGN
稳	TQVN,TQV
熏	TGLO,TGL
箕	TADW,TAD
算	THAJ,THA
箩	TLQU,TLQ
管	TPNN,TPN,TP
箫	TVIJ
舆	WFLW,WFL
僚	WDUI,WDU
僧	WULJ,WUL
鼻	THLJ,THL
魄	RRQC
魅	RQCI
貌	EERQ,EE
膜	EAJD
膊	EGEF
膀	EUPY,EUP
鲜	QGUD,QGU
疑	XTDH
孵	QYTB
馒	QNJC
裹	YJSE
敲	YMKC
豪	YPEU
膏	YPKE,YPK
遮	YAOP
腐	YWFW
瘩	UAWK,UAW
瘟	UJLD,UJL
瘦	UVHC,UVH
辣	UGKI,UGK
彰	UJET,UJE
竭	UJQN
端	UMDJ,UMD
旗	YTAW,YTA
精	OGEG,OGE
粹	OYWF,OYW
歉	UVOW
弊	UMIA
熄	OTHN
熔	OPWK,OPW
煽	OYNN
潇	IAVJ
漆	ISWI,ISW
漱	IGKW
漂	ISFI,ISF
漫	IJLC
滴	IUMD,IUM
漾	IUGI,IUG
演	IPGW,IPG
漏	INFY
慢	NJLC,NJL,NJ
慷	NYVI,NYV
寨	PFJS
赛	PFJM
寡	PDEV,PDE
察	PWFI
蜜	PNTJ
寥	PNWE,PNW
谭	YSJH,YSJ
肇	YNTH
褐	PUJN
褪	PUVP
谱	YUOJ,YUO
隧	BUEP,BUE
嫩	VGKT,VGK
翠	NYWF
熊	CEXO
凳	WGKM
骡	CLXI,CLX
缩	XPWJ,XPW
慧	DHDN,DHD
撵	RFWL
撕	RADR,RAD
撒	RAET,RAE
撩	RDUI,RDU
趣	FHBC,FHB
趟	FHIK,FHI
撑	RIPR,RIP
撮	RJBC,RJB
撬	RTFN
播	RTOL
擒	RWYC
墩	FYBT,FYB
撞	RUJF,RUJ
撤	RYCT,RYC
增	FULJ,FUL,FU
撰	RNNW
聪	BUKN
鞋	AFFF
鞍	AFPV,AFP
蕉	AWYO,AWY
蕊	ANNN,ANN
蔬	ANHQ,ANH
蕴	AXJL,AXJ,AX
横	SAMW,SAM
槽	SGMJ
樱	SMMV
橡	SQJE,SQJ
樟	SUJH,SUJ
橄	SNBT,SNB
敷	GEHT
豌	GKUB
飘	SFIQ
醋	SGAJ,SGA
醇	SGYB
醉	SGYF,SGY
磕	DFCL,DFC
磊	DDDF,DDD
磅	DUPY,DUP
碾	DNAE,DNA
震	FDFE,FDF
霄	FIEF,FIE
霉	FTXU
瞒	HAGW
题	JGHM
暴	JAWI,JAW
瞎	HPDK,HPD,HP
嘻	KFKK,KFK
嘶	KADR,KAD
嘲	KFJE,KFJ
嘹	KDUI
影	JYIE
踢	KHJR,KHJ
踏	KHIJ
踩	KHES
踪	KHPI,KHP
蝶	JANS,JAN
蝴	JDEG,JDE
蝠	JGKL
蝎	JJQN,JJQ
蝌	JTUF,JTU
蝗	JRGG,JRG,JR
蝙	JYNA
嘿	KLFO,KLF
嘱	KNTY,KNT
幢	MHUF,MHU
墨	LFOF
镇	QFHW
镐	QYMK,QYM
镑	QUPY,QUP
靠	TFKD
稽	TDNJ
稻	TEVG,TEV
黎	TQTI,TQT
稿	TYMK,TYM
稼	TPEY,TPE
箱	TSHF,TSH
篓	TOVF,TOV
箭	TUEJ,TUE
篇	TYNA
僵	WGLG,WGL
躺	TMDK
僻	WNKU,WNK
德	TFLN,TFL
艘	TEVC
膝	ESWI,ESW
膛	EIPF,EIP,EI
鲤	QGJF,QGJ
鲫	QGVB
熟	YBVO,YBV
摩	YSSR
褒	YWKE,YWK
瘪	UTHX
瘤	UQYL
瘫	UCWY
凛	UYLI,UYL
颜	UTEM
毅	UEMC,UEM
糊	ODEG,ODE
遵	USGP
憋	UMIN
潜	IFWJ,IFW
澎	IFKE
潮	IFJE,IFJ
潭	ISJH,ISJ
鲨	IITG
澳	ITMD,ITM
潘	ITOL
澈	IYCT
澜	IUGI
澄	IWGU
懂	NATF,NAT
憔	NWYO
懊	NTMD,NTM
憎	NULJ,NUL
额	PTKM
翩	YNMN
褥	PUDF
谴	YKHP
鹤	PWYG,PWY
憨	NBTN
慰	NFIN,NFI
劈	NKUV
履	NTTT,NTT
豫	CBQE,CBQ
缭	XDUI,XDU
撼	RDGN
擂	RFLG,RFL
操	RKKS,RKK
擅	RYLG,RYL
燕	AUKO,AU
蕾	AFLF
薯	ALFJ
薛	AWNU
薇	ATMT,ATM
擎	AQKR
薪	AUSR,AUS
薄	AIGF,AIG
颠	FHWM
翰	FJWN,FJW
噩	GKKK
橱	SDGF
橙	SWGU
橘	SCBK
整	GKIH
融	GKMJ,GKM
瓢	SFIY
醒	SGJG,SGJ
霍	FWYF
霎	FUVF,FUV
辙	LYCT,LYC
冀	UXLW,UXL
餐	HQCE,HQC,HQ
嘴	KHXE,KHX
踱	KHYC
蹄	KHUH
蹂	KHCS
蟆	JAJD
螃	JUPY,JUP
器	KKDK,KKD
噪	KKKS
鹦	MMVG
赠	MULJ,MUL,MU
默	LFOD
黔	LFON
镜	QUJQ,QUJ
赞	TFQM
穆	TRIE,TRI
篮	TJTL
篡	THDC
篷	TTDP
篱	TYBC,TYB
儒	WFDJ,WFD
邀	RYTP
衡	TQDH
膨	EFKE,EFK
雕	MFKY
鲸	QGYI,QGY
磨	YSSD
瘾	UBQN,UBQ
瘸	ULKW
凝	UXTH,UXT
辨	UYTU,UYT
辩	UYUH,UYU
糙	OTFP,OTF
糖	OYVK
糕	OUGO
燃	OQDO
濒	IHIM
澡	IKKS,IKK,IK
激	IRYT,IRY
懒	NGKM
憾	NDGN
懈	NQEH,NQE,NQ
窿	PWBG,PWB
壁	NKUF
避	NKUP,NK
缰	XGLG,XGL
缴	XRYT,XRY
戴	FALW
擦	RPWI
藉	ADIJ,ADI
鞠	AFQO,AFQ
藏	ADNT
藐	AEEQ,AEE
檬	SAPE,SAP
檐	SQDY
檀	SYLG,SYL
礁	DWYO,DWY
磷	DOQH,DOQ
霜	FSHF,FSH,FS
霞	FNHC
瞭	HDUI
瞧	HWYO,HWY
瞬	HEPH,HEP
瞳	HUJF,HUJ,HU
瞩	HNTY,HNT
瞪	HWGU,HWG
曙	JLFJ,JL
蹋	KHJN
蹈	KHEV
螺	JLXI,JLX
蟋	JTON,JTO
蟀	JYXF,JYX
嚎	KYPE,KYP
赡	MQDY,MQD
穗	TGJN
魏	TVRC,TVR
簧	TAMW
簇	TYTD,TYT
繁	TXGI
徽	TMGT
爵	ELVF,ELV
朦	EAPE,EAP
臊	EKKS
鳄	QGKN
癌	UKKM,UKK
辫	UXUH,UXU
赢	YNKY
糟	OGMJ
糠	OYVI
燥	OKKS,OKK
懦	NFDJ
豁	PDHK
臀	NAWE
臂	NKUE
翼	NLAW,NLA
骤	CBCI,CBC
藕	ADIY
鞭	AFWQ,AFW
藤	AEUI,AEU
覆	STTT,STT
瞻	HQDY,HQD
蹦	KHME
嚣	KKDK,KKD
镰	QYUO,QYU
翻	TOLN
鳍	QGFJ
鹰	YWWG
瀑	IJAI,IJA
襟	PUSI,PUS
璧	NKUY
戳	NWYA
孽	AWNB
警	AQKY
蘑	AYSD,AYS
藻	AIKS,AIK
攀	SQQR,SQQ
曝	JJAI,JJA
蹲	KHUF
蹭	KHUJ
蹬	KHWU
巅	MFHM,MFH
簸	TADC
簿	TIGF,TIG
蟹	QEVJ
颤	YLKM
靡	YSSD,YSS
癣	UQGD,UQG
瓣	URCU,URC,UR
羹	UGOD
鳖	UMIG
爆	OJAI,OJA
疆	XFGG,XFG
鬓	DEPW
壤	FYKE,FYK
馨	FNMJ,FNM
耀	IQNY
躁	KHKS
蠕	JFDJ
嚼	KELF,KEL
嚷	KYKE,KYK
巍	MTVC,MTV
籍	TDIJ
鳞	QGOH,QGO
魔	YSSC
糯	OFDJ,OFD
灌	IAKY,IAK
譬	NKUY,NKU
蠢	DWJJ
霸	FAFE,FAF
露	FKHK
霹	FNKU,FNK
躏	KHAY
黯	LFOJ
髓	MEDP,MED
赣	UJTM,UJT
囊	GKHE,GKH
镶	QYKE,QYK
瓤	YKKY
罐	RMAY
矗	FHFH
乂	QTY
乜	NNV
兀	GQV
弋	AGNY
孑	BNHG
孓	BYI
幺	XNNY
亓	FJJ
韦	FNHK,FNH
廿	AGHG,AGH
丏	GHNN
卅	GKK
仄	DWI
厄	DBV
仃	WSH
仉	WMN
仂	WLN
兮	WGNB
刈	QJH
爻	QQU
卞	YHU
闩	UGD
讣	YHY
尹	VTE
夬	NWI
爿	NHDE
毋	XDE
邗	FBH
邛	ABH
艽	AVB
艿	AEB
札	SNN
叵	AKD
匝	AMHK,AMH
丕	GIGF
匜	ABV
劢	DNLN,DNL
卟	KHY
叱	KXN
叻	KLN
仨	WDG
仕	WFG
仟	WTFH
仡	WTNN,WTN
仫	WTCY,WTC
仞	WVYY,WVY
卮	RGBV
氐	QAYI,QAY
犰	QTVN
刍	QVF
邝	YBH
邙	YNBH,YNB
汀	ISH
讦	YFH
讧	YAG
讪	YMH
讫	YTNN
尻	NVV
阡	BTFH,BTF
尕	EIU
弁	CAJ
驭	CCY
匡	AGD
耒	DII
玎	GSH
玑	GMN
邢	GABH,GAB
圩	FGFH,FGF
圬	FFNN,FFN
圭	FFF
扦	RTFH
圪	FTNN,FTN
圳	FKH
圹	FYT
扪	RUN
圮	FNN
圯	FNN
芊	ATFJ,ATF
芍	AQYU,AQY
芄	AVYU,AVY
芨	AEYU,AEY
芑	ANB
芎	AXB
芗	AXTR,AXT
亘	GJGF,GJG
厍	DLK
夼	DKJ
戍	DYNT
尥	DNQY,DNQ
乩	HKNN,HKN
旯	JVB
曳	JXE
岌	MEYU
屺	MNN
凼	IBK
囡	LVD
钇	QNN
缶	RMK
氘	RNJJ,RNJ
氖	RNEB,RNE
牝	TRXN,TRX
伎	WFCY
伛	WAQY
伢	WAHT,WAH
佤	WGNN,WGN
仵	WTFH,WTF
伥	WTAY,WTA
伧	WWBN
伉	WYMN,WYM
伫	WPGG,WPG
囟	TLQI,TLQ
汆	TYIU
刖	EJH
夙	MGQI,MGQ
旮	VJF
刎	QRJH,QRJ
犷	QTYT
犸	QTCG
舛	QAHH,QAH
凫	QYNM,QYN
邬	QNGB
饧	QNNR
汕	IMH
汔	ITNN,ITN
汐	IQY
汲	IEYY,IEY
汜	INN
汊	ICYY
忖	NFY
忏	NTFH
讴	YAQY,YAQ
讵	YANG
祁	PYBH,PYB
讷	YMWY,YMW
聿	VFHK
艮	VEI
厾	NFCI
阱	BFJH,BFJ
阮	BFQN,BFQ
阪	BRCY,BR
丞	BIGF,BIG
妁	VQYY,VQY
牟	CRHJ,CRH,CR
纡	XGFH,XGF
纣	XFY
纥	XTNN
纨	XVYY
玕	GFH
玙	GGNG
抟	RFNY,RFN
抔	RGIY
圻	FRH
坂	FRCY,FRC
坍	FMYG
坞	FQNG
抃	RYHY
抉	RNWY
㧐	RCCY
芫	AFQB,AFQ
邯	AFBH,AFB
芸	AFCU
芾	AGMH,AGM
苈	ADLB,ADL
苣	AANF,AAN
芷	AHF
芮	AMWU,AMW
苋	AMQB,AMQ
芼	ATFN
苌	ATAY,ATA
苁	AWWU
芩	AWYN
芪	AQAB,AQA
芡	AQWU,AQW
芟	AMCU,AMC
苄	AYHU,AYH
苎	APGF
苡	ANYW,ANY
杌	SGQN
杓	SQYY
杞	SNN
杈	SCYY
忑	GHNU
孛	FPBF
邴	GMWB
邳	GIGB
矶	DMN
奁	DAQU,DAQ
豕	EGTY,EGT
忒	ANI
欤	GNGW
轫	LVYY,LVY
迓	AHTP
邶	UXBH,UXB
忐	HNU
卣	HLNF,HLN
邺	OGBH,OGB
旰	JFH
呋	KFWY,KFW
呒	KFQN,KFQ
呓	KANN,KAN
呔	KDYY
呖	KDLN,KDL
呃	KDBN,KDB
旸	JNRT
吡	KXXN,KXX
町	LSH,LS
虬	JNN
呗	KMY
吽	KRHH
吣	KNY
吲	KXHH,KXH
帏	MHFH,MHF
岐	MFCY,MFC
岈	MAHT,MAH
岘	MMQN
岑	MWYN
岚	MMQU
兕	MMGQ
囵	LWXV
囫	LQRE,LQR
钊	QJH
钋	QHY
钌	QBH
迕	TFPK,TFP
氙	RNMJ,RNM
氚	RNKJ
牤	TRYN
佞	WFVG,WFV
邱	RGBH,RGB
攸	WHTY
佚	WRWY,WRW
佝	WQKG,WQK
佟	WTUY
佗	WPXN,WPX
伽	WLKG,WLK
彷	TYN
佘	WFIU
佥	WGIF
孚	EBF
豸	EER
坌	WVFF
肟	EFNN,EFN
邸	QAYB
奂	QMDU,QMD
劬	QKLN,QKL
狄	QTOY
狁	QTCQ,QTC
鸠	VQYG
邹	QVBH,QVB
饨	QNGN
饩	QNRN
饪	QNTF
饫	QNTD
饬	QNTL
亨	YBJ
庑	YFQV,YFQ
庋	YFCI,YFC
疔	USK
疖	UBK
肓	YNEF
闱	UFNH,UFN
闳	UDCI,UDC
闵	UYI
羌	UDNB
炀	ONRT
沣	IDHH,IDH
沅	IFQN,IFQ
沔	IGHN,IGH
沤	IAQY,IAQ
沌	IGBN,IGB
沏	IAVN,IAV
沚	IHG
汩	IJG
汨	IJG
沂	IRH
汾	IWVN,IWV
沨	IMQY
汴	IYHY,IYH
汶	IYY
沆	IYMN,IYM
沩	IYLY,IYL
泐	IBLN,IBL
怃	NFQN,NFQ
怄	NAQY,NAQ
忡	NKHH,NKH
忤	NTFH,NTF
忾	NRNN,NRN
怅	NTAY,NTA
忻	NRH
忪	NWCY,NWC
怆	NWBN,NWB
忭	NYHY,NYH
忸	NNFG,NNF
诂	YDG
诃	YSKG,YSK
诅	YEGG,YEG
诋	YQAY,YQA
诌	YQVG
诏	YVKG,YVK
诒	YCKG,YCK
孜	BTY
陇	BDXN,BDX
陀	BPXN,BPX
陂	BHCY,BHC
陉	BCAG,BCA
妍	VGAH,VGA
妩	VFQN,VFQ
妪	VAQY,VAQ
妣	VXXN,VXX
妊	VTFG,VTF
妗	VWYN,VWY
妫	VYLY,VYL
妞	VNFG,VNF
姒	VNYW,VNY
妤	VCBH
邵	VKBH,VKB
劭	VKLN,VKL
刭	CAJH
甬	CEJ
邰	CKBH,CKB
纭	XFCY,XFC
纰	XXXN
纴	XTFG
纶	XWXN,XWX
纾	XCBH,XCB
玮	GFNH,GFN
玡	GAHT
玭	GXXN
玠	GWJH
玢	GWVN,GWV
玥	GEG
玦	GNWY
盂	GFLF,GFL
忝	GDNU,GDN
匦	ALVV,ALV
坩	FAFG
抨	RGUH
拤	RHHY
坫	FHKG
拈	RHKG
垆	FHNT
抻	RJHH,RJH
劼	FKLN
拃	RTHF
拊	RWFY,RWF
坼	FRYY,FRY
坻	FQAY,FQA
㧟	RIAN,RIA
坨	FPXN
坭	FNXN,FNX
抿	RNAN,RNA
坳	FXLN,FXL,FX
耶	BBH
苷	AAFF,AAF
苯	ASGF,ASG
苤	AGIG,AGI
茏	ADXB,ADX
苫	AHKF,AHK
苜	AHF
苴	AEGF,AEG
苒	AMFF,AMF
苘	AMKF,AMK
茌	AWFF
苻	AWFU
苓	AWYC
茚	AQGB
茆	AQTB
茑	AQYG,AQY
茓	APWU
茔	APFF
茕	APNF,APN
茀	AXJJ
苕	AVKF,AVK
枥	SDLN,SDL
枇	SXXN
杪	SITT,SIT
杳	SJF
枧	SMQN
杵	STFH
枨	STAY,STA
枞	SWWY,SWW
枋	SYN
杻	SNFG
杷	SCN
杼	SCBH,SCB
矸	DFH
砀	DNRT,DNR
刳	DFNJ
奄	DJNB,DJN
瓯	AQGN
殁	GQMC
郏	GUWB
轭	LDBN,LDB
郅	GCFB
鸢	AQYG
盱	HGFH,HGF
昊	JGDU,JGD
昙	JFCU
杲	JSU
昃	JDWU,JDW
咂	KAMH,KAM
呸	KGIG,KGI
昕	JRH
昀	JQUG,JQU
旻	JYU
昉	JYN
炅	JOU
咔	KHHY
畀	LGJJ,LGJ
虮	JMN
咀	KEGG,KEG
呷	KLH
黾	KJNB,KJN
呱	KRCY,KRC
呤	KWYC,KWY
咚	KTUY
咆	KQNN,KQN
咛	KPSH,KPS
呶	KVCY,KVC
呣	KXGU
呦	KXLN,KXL
咝	KXXG
岢	MSKF,MSK
岿	MJVF,MJV
岬	MLH
岫	MMG
帙	MHRW
岣	MQKG,MQK
峁	MQTB,MQT
刿	MQJH,MQJ
迥	MKPD,MKP,MK
岷	MNAN,MNA
剀	MNJH,MNJ
帔	MHHC
峄	MCFH,MCF
沓	IJF
囹	LWYC,LWY
罔	MUYN,MUY
钍	QFG
钎	QTFH,QTF
钏	QKH
钒	QMYY
钕	QVG
钗	QCYY,QCY
邾	RIBH,RIB
迮	THFP
牦	TRTN
竺	TFF
迤	TBPV,TBP
佶	WFKG
佬	WFTX,WFT
佰	WDJG,WDJ
侑	WDEG,WDE
侉	WDFN,WDF
臾	VWI,VW
岱	WAMJ
侗	WMGK
侃	WKQN,WKQ
侏	WRIY,WRI
侩	WWFC
佻	WIQN,WIQ
佾	WWEG,WWE
侪	WYJH,WYJ
佼	WUQY,WUQ
佯	WUDH
侬	WPEY,WPE,WP
帛	RMHJ,RMH
阜	WNNF
侔	WCRH,WCR
徂	TEGG,TEG
刽	WFCJ
郄	QDCB,QDC
怂	WWNU,WWN
籴	TYOU,TYO
瓮	WCGN,WCG
戗	WBAT,WBA
肼	EFJH,EFJ
䏝	EFNY
肽	EDYY,EDY
肱	EDCY,EDC
肫	EGBN,EGB
剁	MSJH,MSJ
迩	QIPI,QIP
郇	QJBH,QJB
狙	QTEG
